INSTNM,NPT4_COMBINED
Brunswick Community College,8785
Bryan College of Health Sciences,25884
Bryan College-Dayton,16494
Bryan University,20948
Bryan University,20383
Bryant & Stratton College-Albany,12452
Bryant & Stratton College-Buffalo,14117
Bryant & Stratton College-Greece,14664
Bryant & Stratton College-Online,14642
Bryant & Stratton College-Parma,14325
Bryant & Stratton College-Syracuse North,9972
Bryant & Stratton College-Virginia Beach,12134
Bryant & Stratton College-Wauwatosa,15135
Bryant University,40846
Bryn Athyn College of the New Church,19600
Bryn Mawr College,40690
Buckeye Hills Career Center,12374
Buckeye Joint Vocational School,9600
Bucknell University,40429
Buckner Barber School,27807
Bucks County Community College,7561
Bucks County School of Beauty Culture Inc,20792
Buena Vista University,18321
Bull City Durham Beauty and Barber College,11417
Bunker Hill Community College,6313
Bushnell University,23520
Butler Beauty Academy,10413
Butler Beauty Academy-Kittanning Beauty Academy,8909
Butler Beauty Academy-New Castle Beauty Academy,8970
Butler Community College,16051
Butler County Community College,6075
Butler University,38472
Butte Academy of Beauty Culture,9031
Butte College,4632
Butte County Regional Occupational Program,4357
CBD College,21100
CBT Technology Institute-Cutler Bay,17375
CBT Technology Institute-Hialeah,11281
CBT Technology Institute-Main Campus,17872
CCI Training Center-Arlington,12875
CDE Career Institute,29396
CEM College-Humacao,9418
CEM College-San Juan,14817
CES College,27139
CET-Alexandria,20615
CET-Coachella,11202
CET-Colton,15800
CET-El Centro,19211
CET-El Paso,19187
CET-Oxnard,9534
CET-Salinas,6804
CET-San Diego,19875
CET-San Jose,15045
CET-Santa Maria,2869
CET-Soledad,10377
CET-Watsonville,1532
CRU Institute of Cosmetology and Barbering,18165
CTK Healthcare & Career Institute,4779
CUNY Bernard M Baruch College,2978
CUNY Borough of Manhattan Community College,4907
CUNY Bronx Community College,4342
CUNY Brooklyn College,2943
CUNY City College,3486
CUNY Hostos Community College,5001
CUNY Hunter College,2446
CUNY John Jay College of Criminal Justice,3046
CUNY Kingsborough Community College,5436
CUNY LaGuardia Community College,5699
CUNY Lehman College,3482
CUNY Medgar Evers College,5881
CUNY New York City College of Technology,4783
CUNY Queens College,3830
CUNY Queensborough Community College,4620
CUNY Stella and Charles Guttman Community College,5643
CUNY York College,4734
CVPH Medical Center School of Radiologic Technology,8609
Cabarrus College of Health Sciences,17271
Cabell County Career Technology Center,869
Cabrillo College,13328
Cabrini University,24051
Caddo Kiowa Technology Center,5085
Cadillac Institute of Cosmetology,14850
Cairn University-Langhorne,29577
CalCopa Massage School,36217
Caldwell Community College and Technical Institute,5517
Caldwell University,21188
California Aeronautical University,38205
California Baptist University,27384
California Barber and Beauty College,10032
California Beauty School,11547
California College of ASU,30320
California College of Barbering and Cosmetology,15580
California College of Music,18922
California College of the Arts,42168
California Hair Design Academy,40350
California Healing Arts College,19024
California Institute of Arts & Technology,34183
California Institute of Arts & Technology-National City,22688
California Institute of Technology,18902
California Institute of the Arts,47183
California Lutheran University,26433
California Miramar University,11007
California Nurses Educational Institute,21278
California Polytechnic State University-San Luis Obispo,15624
California State Polytechnic University-Humboldt,13167
California State Polytechnic University-Pomona,11580
California State University Maritime Academy,17555
California State University-Bakersfield,5825
California State University-Channel Islands,9792
California State University-Chico,14838
California State University-Dominguez Hills,3659
California State University-East Bay,11276
California State University-Fresno,6480
California State University-Fullerton,5646
California State University-Long Beach,8931
California State University-Los Angeles,4113
California State University-Monterey Bay,14487
California State University-Northridge,7599
California State University-Sacramento,10512
California State University-San Bernardino,5918
California State University-San Marcos,10550
California State University-Stanislaus,5671
Calumet College of Saint Joseph,20739
Calvary University,12860
Calvin University,24783
Cambridge College of Healthcare & Technology,17057
Cambridge College of Healthcare & Technology,18526
Camden County College,5124
Cameo Beauty Academy,15916
Cameron University,10705
Campbell University,23991
Campbellsville University,18246
Canada College,10
Canadian Valley Technology Center,10046
Canisius University,18322
Cankdeska Cikana Community College,9197
Cannella School of Hair Design-Chicago,11880
Cannella School of Hair Design-Chicago,12490
Cannella School of Hair Design-Villa Park,7439
Canton City Schools Adult Career and Technical Education,16057
Cape Cod Community College,8403
Cape Fear Community College,5416
Cape Girardeau Career and Technology Center,20019
Capella University,18305
Capilo School of Hair Design,18762
Capital University,23585
Capitol Beauty School,14441
Capitol Technology University,24678
Capri Beauty College,10777
Capri Beauty College,18116
Capri College-Cedar Rapids,13683
Capri College-Davenport,12882
Capri College-Dubuque,14104
Capri Cosmetology Learning Centers,18206
Capstone College,18047
Career Academy of Beauty,19101
Career Academy of Hair Design,13563
Career Care Institute,45587
Career Center of Southern Illinois,21769
Career Development Institute Inc,21412
Career Networks Institute,28292
Career School of NY,8069
Career Technical Institute,19920
Career Technology Center of Lackawanna County,16058
Caribbean Aviation Training Institute Inc,10911
Caribbean Forensic and Technical College,6024
Caribbean University-Bayamon,6392
Caribbean University-Carolina,7635
Caribbean University-Ponce,6680
Caribbean University-Vega Baja,6310
Caris College,17866
Carl Albert State College,6855
Carl Sandburg College,1036
Carleton College,27320
Carlow University,20822
Carlson College of Massage Therapy,13205
Carnegie Institute,14418
Carnegie Mellon University,31671
Carolina Christian College,11448
Carolina College of Biblical Studies,18745
Carolina College of Hair Design Inc,13922
Carolina University,18866
Carrington College-Albuquerque,39922
Carrington College-Las Vegas,30306
Carrington College-Mesa,47290
Carrington College-Pleasant Hill Campus,30749
Carrington College-Portland,29350
Carrington College-Reno,47705
Carrington College-Sacramento,37143
Carrington College-San Jose,31043
Carrington College-San Leandro Campus,32368
Carrington College-Spokane,35743
Carrington College-Stockton,30387
Carrington College-Tucson,39975
Carroll College,24842
Carroll Community College,3917
Carroll University,24362
Carson-Newman University,18661
Carteret Community College,11889
Carthage College,24813
Carthage R9 School District-Carthage Technical Center,16233
Carver Career Center,6161
Casa Loma College-Los Angeles,27721
Casal Aveda Institute,16575
Casal Institute of Nevada,14037
Cascadia College,12612
Case Western Reserve University,38909
Casper College,8759
Cass Career Center,15552
Catawba College,18210
Catawba Valley Community College,9415
Catherine Hinds Institute of Esthetics,19272
Cayce/Reilly School of Massage,17382
Cayuga County Community College,7278
Cayuga Onondaga BOCES-Practical Nursing Program,33290
Cecil College,10097
Cedar Crest College,22909
Cedarville University,25022
Celebrity School of Beauty,4857
Celebrity Stylist Beauty School,14290
Centenary College of Louisiana,25159
Centenary University,19037
Center for Advanced Legal Studies,10914
Center for Allied Health Education,35431
Center for Instruction Technology & Innovation,14487
Center for Massage,16242
Center for Neurosomatic Studies,46680
Center for Ultrasound Research & Education,48634
Center for the Healing Arts,12513
Centra College,24868
Central Alabama Community College,14346
Central Arizona College,4591
Central Baptist College,16664
Central California School of Continuing Education,14364
Central Carolina Community College,616
Central Carolina Technical College,5027
Central Christian College of Kansas,12473
Central Christian College of the Bible,13866
Central Coast College,26640
Central College,22353
Central College of Cosmetology,7364
Central Community College,6781
Central Connecticut State University,16435
Central Georgia Technical College,4750
Central Lakes College-Brainerd,12829
Central Louisiana Technical Community College,5497
Central Maine Community College,7489
Central Methodist University-College of Graduate and Extended Studies,14774
Central Methodist University-College of Liberal Arts and Sciences,25477
Central Michigan University,16041
Central New Mexico Community College,3454
Central Ohio Technical College,10075
Central Oregon Community College,10765
Central Penn College,19279
Central Pennsylvania Diesel Institute,20363
Central Pennsylvania Institute of Science and Technology,10498
Central Piedmont Community College,3660
Central School of Practical Nursing,20675
Central School of Practical Nursing,7152
Central State University,16544
Central Susquehanna Intermediate Unit LPN Career,18313
Central Texas Beauty College-Round Rock,9606
Central Texas Beauty College-Temple,10139
Central Texas College,6408
Central Valley Barber College,13611
Central Virginia Community College,5525
Central Washington University,14715
Central Wyoming College,13622
Central Yeshiva Tomchei Tmimim Lubavitz,19406
Centralia Beauty College,8004
Centralia College,7600
Centre College,21497
Centura College-Chesapeake,26254
Centura College-Newport News,25752
Centura College-Norfolk,26719
Centura College-Richmond Main,25920
Centura College-Virginia Beach,27538
Century College,10037
Cerritos College,693
Cerro Coso Community College,6078
Chabot College,4616
Chadron State College,13308
Chaffey College,5743
Chamberlain University-Arizona,37002
Chamberlain University-Florida,29539
Chamberlain University-Georgia,31471
Chamberlain University-Illinois,26933
Chamberlain University-Indiana,36219
Chamberlain University-Louisiana,36972
Chamberlain University-Michigan,26870
Chamberlain University-Missouri,34947
Chamberlain University-Nevada,40925
Chamberlain University-New Jersey,36438
Chamberlain University-North Carolina,21664
Chamberlain University-Ohio,32074
Chamberlain University-Texas,32247
Chaminade University of Honolulu,28061
Champ's Barber School,17381
Champ's Barber School-Lebanon,17646
Champion Beauty College,15742
Champion Christian College,15220
Champlain College,35000
Chancellor Institute,34395
Chandler-Gilbert Community College,12653
Chapman University,47527
Charles A Jones Career and Education Center,15980
Charles H McCann Technical School,9909
Charles R Drew University of Medicine and Science,27789
Charles Stuart School of Diamond Setting,41229
Charles and Sues School of Hair Design,21791
Charles of Italy Beauty College,11641
Charleston Cosmetology Institute,15686
Charleston School of Beauty Culture,11801
Charleston Southern University,21955
Charlie's Guard-Detective Bureau and Academy Inc,5478
Charlotte Technical College,10076
Charter College,25225
Charter Oak State College,15663
Charzanne Beauty College,14042
Chatham University,25717
Chattahoochee Technical College,4546
Chattahoochee Valley Community College,5814
Chattanooga College Medical Dental and & Technical Careers,28726
Chattanooga State Community College,5702
Cheeks Beauty Academy,11035
Cheeks Beauty Academy,10481
Chemeketa Community College,8457
Chesapeake College,4178
Chester Career College,23878
Chester County Intermediate Unit,18912
Chestnut Hill College,29944
Cheyney University of Pennsylvania,9837
Chicago State University,10133
Chief Dull Knife College,9594
Chipola College,832
Chippewa Valley Technical College,12025
Choffin Career  and Technical Center,13618
Chowan University,16189
Chris Beauty College,17940
Christ Mission College,7157
Christian Brothers University,10896
Christina and Company Education Center,11682
Christine Valmy International School for Esthetics Skin Care & Makeup,14636
Christine Valmy International School of Esthetics & Cosmetology,20157
Christopher Newport University,22197
Cincinnati School of Barbering & Hair Design,11747
Cincinnati State Technical and Community College,7113
Cinta Aveda Institute,10821
Circle in the Square Theatre School,29537
Cisco College,9099
Citadel Military College of South Carolina,21002
Citizens School of Nursing,26072
Citrus College,3800
Citrus Heights Beauty College,30408
City College of San Francisco,7272
City College-Altamonte Springs,32105
City Colleges of Chicago-Harold Washington College,2974
City Colleges of Chicago-Harry S Truman College,3816
City Colleges of Chicago-Kennedy-King College,4902
City Colleges of Chicago-Malcolm X College,3729
City Colleges of Chicago-Olive-Harvey College,5749
City Colleges of Chicago-Richard J Daley College,3166
City Colleges of Chicago-Wilbur Wright College,2651
City Pointe Beauty Academy,12532
City University of Seattle,35049
City Vision University,6709
Clackamas Community College,8236
Claflin University,21232
Claremont McKenna College,27384
Clarendon College,8373
Clark Atlanta University,35115
Clark College,9826
Clark State College,8615
Clark University,27711
Clarke University,20068
Clarks Summit University,21873
Clarksburg Beauty Academy and School of Massage Therapy,10663
Clarkson College,15928
Clarkson University,31955
Clary Sage College,22746
Clatsop Community College,13433
Clayton  State University,10145
Clear Creek Baptist Bible College,10255
Clearfield County Career and Technology Center,13654
Cleary University,21019
Clemson University,22112
Cleveland Community College,414
Cleveland Institute of Art,41480
Cleveland Institute of Music,32623
Cleveland State Community College,6183
Cleveland State University,16065
Cleveland University-Kansas City,33243
Clinton College,14501
Clinton Community College,9385
Clinton Essex Warren Washington BOCES,12752
