INSTNM,NPT4_COMBINED
Sierra College,4462
Sierra College of Beauty,11519
Signature Healthcare Brockton Hospital School of Nursing,25162
Simmons College of Kentucky,19960
Simmons University,27313
Simpson College,22231
Simpson University,27923
Sinclair Community College,5741
Sinte Gleska University,7075
Sisseton Wahpeton College,3050
Sitting Bull College,3455
Skagit Valley College,6116
Skidmore College,34581
Skin Institute,15336
Skin Science Institute,18040
Skinworks School of Advanced Skincare,26352
Skyline College,-1180
Slippery Rock University of Pennsylvania,19524
Smith Chason College,34402
Smith College,26181
Snead State Community College,6369
Snow College,6071
Soka University of America,21446
Solano Community College,3869
Somerset Community College,3913
Somerset County Technology Center,16620
Sonoma State University,13801
Sonoran Desert Institute,19921
South Arkansas College,6235
South Carolina State University,18268
South Central College,10314
South Coast College,22480
South College,17182
South Dade Technical College-South Dade Skills Center Campus,3288
South Dakota School of Mines and Technology,20380
South Dakota State University,18219
South Florida Institute of Technology,29731
South Florida State College,4443
South Georgia State College,9300
South Georgia Technical College,1026
South Hills Beauty Academy,5948
South Hills School of Business & Technology,25192
South Louisiana Community College,9684
South Mountain Community College,11942
South Piedmont Community College,4072
South Plains College,7062
South Puget Sound Community College,9090
South Seattle College,6802
South Suburban College,2919
South Texas Barber College Inc,6965
South Texas College,1291
South Texas Training Center,5495
South Texas Vocational Technical Institute-Brownsville,19274
South Texas Vocational Technical Institute-Weslaco,19268
South University-Austin,24532
South University-Columbia,22886
South University-High Point,27634
South University-Montgomery,25157
South University-Richmond,26205
South University-Savannah,24116
South University-Savannah Online,26308
South University-Tampa,24280
South University-Virginia Beach,24372
South University-West Palm Beach,20494
Southcentral Kentucky Community and Technical College,3794
Southeast Arkansas College,11185
Southeast Community College Area,8470
Southeast Kentucky Community & Technical College,3537
Southeast Missouri Hospital College of Nursing and Health Sciences,25189
Southeast Missouri State University,14532
Southeast New Mexico College,4821
Southeast Technical College,17165
Southeast Texas Career Institute,21200
Southeastern Baptist College,5603
Southeastern Baptist Theological Seminary,6608
Southeastern College-Charleston,36778
Southeastern College-Charlotte,36058
Southeastern College-Columbia,37856
Southeastern College-West Palm Beach,33952
Southeastern Community College,12812
Southeastern Community College,4474
Southeastern Esthetics Institute,16467
Southeastern Free Will Baptist Bible College,13467
Southeastern Illinois College,5571
Southeastern Louisiana University,12174
Southeastern Oklahoma State University,6352
Southeastern Technical College,6072
Southeastern Technical Institute,11768
Southeastern University,30209
Southern Adventist University,24334
Southern Arkansas University Main Campus,15944
Southern Arkansas University Tech,5895
Southern California College of Barber and Beauty,20682
Southern California Health Institute,26692
Southern California Institute of Architecture,37535
Southern California Institute of Technology,27735
Southern California University of Health Sciences,45633
Southern Careers Institute-Austin,23458
Southern Careers Institute-Brownsville,16706
Southern Careers Institute-Corpus Christi,24545
Southern Careers Institute-Harlingen,23167
Southern Careers Institute-Pharr,21588
Southern Careers Institute-San Antonio,26782
Southern Careers Institute-San Antonio,29173
Southern Careers Institute-Waco,22657
Southern Connecticut State University,20877
Southern Crescent Technical College,4652
Southern Illinois University-Carbondale,16177
Southern Illinois University-Edwardsville,13696
Southern Maine Community College,11638
Southern Methodist University,41778
Southern Missouri Technical Institute,21721
Southern Nazarene University,17838
Southern New Hampshire University,33742
Southern Oklahoma Technology Center,4777
Southern Oregon University,16470
Southern Regional Technical College,1085
Southern School of Beauty Inc,2350
Southern State Community College,10918
Southern Technical College,24026
Southern Technical College,23130
Southern Union State Community College,8652
Southern University and A & M College,19740
Southern University at New Orleans,15260
Southern University at Shreveport,12890
Southern Utah University,11432
Southern Virginia University,24014
Southern Wesleyan University,19968
Southern West Virginia Community and Technical College,8064
Southern Worcester County Regional Vocational School District,32513
Southside Virginia Community College,6194
Southwest Baptist University,21082
Southwest College for the Deaf,5355
Southwest Institute of Healing Arts,58490
Southwest Minnesota State University,14760
Southwest Mississippi Community College,3057
Southwest School of Business and Technical Careers-San Antonio,22508
Southwest Technology Center,13179
Southwest Tennessee Community College,4588
Southwest Texas Junior College,7634
Southwest University at El Paso,17803
Southwest Virginia Community College,8838
Southwest Wisconsin Technical College,10277
Southwestern Adventist University,20581
Southwestern Assemblies of God University,19655
Southwestern Christian College,16870
Southwestern Christian University,19692
Southwestern College,10893
Southwestern College,27310
Southwestern Community College,9775
Southwestern Community College,4928
Southwestern Illinois College,7210
Southwestern Indian Polytechnic Institute,8683
Southwestern Michigan College,6463
Southwestern Oklahoma State University,14542
Southwestern Oregon Community College,8815
Southwestern University,27468
Spa Tech Institute-North Andover,27248
Spa Tech Institute-Plymouth,19494
Spa Tech Institute-Westboro,18910
Spa Tech Institute-Westbrook,18283
Spalding University,24264
Spartan College of Aeronautics & Technology,30099
Spartan College of Aeronautics and Technology,30922
Spartan College of Aeronautics and Technology,31544
Spartan College of Aeronautics and Technology,32884
Spartanburg Community College,6531
Spartanburg Methodist College,16295
Spelman College,36828
Spokane Community College,6206
Spokane Falls Community College,7402
Spoon River College,6584
Spring Arbor University,20899
Spring Hill College,19514
Springfield College,29187
Springfield Technical Community College,8196
St Bonaventure University,27151
St Catherine University,21563
St Charles Community College,5981
St Clair County Community College,8145
St Cloud Technical and Community College,10956
St Lawrence University,30561
St Louis College of Health Careers-St Louis,26422
St Luke's College,13021
St Olaf College,22752
St Paul's School of Nursing-Queens,31766
St Paul's School of Nursing-Staten Island,39377
St Petersburg College,-52
St Philip's College,4873
St. Andrews University,33756
St. Augustine College,17082
St. Francis College,21614
St. John Fisher University,28150
St. John's College,27934
St. John's College,24351
St. John's University-New York,26985
St. Joseph's College of Nursing,29688
St. Joseph's University-New York,17622
St. Mary's College of Maryland,18362
St. Mary's University,21352
St. Thomas Aquinas College,21344
St. Thomas University,24275
Stacey James Institute,16707
Stage One-The Hair School,11337
Stanbridge University,25114
Standard Healthcare Services-College of Nursing,35630
Stanford University,12136
Stanly Community College,4215
Stark State College,6693
State Career College,18724
State College of Beauty Culture Inc,10994
State College of Florida-Manatee-Sarasota,21433
State Fair Community College,7485
State Technical College of Missouri,13958
State University of New York at Cortland,19951
State University of New York at New Paltz,18481
State University of New York at Oswego,17231
Staunton School of Cosmetology,12369
Stautzenberger College-Brecksville,20743
Stautzenberger College-Maumee,19881
Stautzenberger College-Rockford Career College,19198
Stellar Career College,13155
Stellar Career College,21507
Stephanie Moss Academy,13435
Stephen F Austin State University,15152
Stephens College,23277
Sterling College,22403
Sterling College,30785
Stetson University,21318
Steven Papageorge Hair Academy,12534
Stevens Institute of Technology,40468
Stevens-The Institute of Business & Arts,20095
Stevenson University,26806
Stevensons Academy of Hair Design,3715
Stewart School,16329
Stillman College,12272
Stockton University,19634
Stone Child College,5580
Stonehill College,29969
Stony Brook University,18430
Strand College of Hair Design,11077
Strand Institute of Beauty & Esthetics,27218
Strayer University-Alabama,22923
Strayer University-Florida,17518
Strayer University-Georgia,18224
Strayer University-Global Region,18918
Strayer University-Maryland,18092
Strayer University-Pennsylvania,21360
Strayer University-South Carolina,22134
Strayer University-Tennessee,18466
Strayer University-Texas,17517
Strayer University-West Virginia,16943
Studio Academy of Beauty,19585
Studio Beauty School,19626
Studio Jewelers,9590
Stylemaster College of Hair Design,8222
Suffolk County Community College,4882
Suffolk University,30031
Sul Ross State University,10991
Sullivan County Community College,9263
Sullivan University,25785
Summit Academy Opportunities Industrialization Center,17952
Summit Christian College,18188
Summit College,24161
Summit Salon Academy,19220
Summit Salon Academy,16124
Summit Salon Academy,26302
Summit Salon Academy Kansas City,19679
Summit Salon Academy-Gainesville,15818
Summit Salon Academy-Kokomo,16572
Summit Salon Academy-Lexington,13809
Summit Salon Academy-Perrysburg,13293
Summit Salon Academy-Portland,12163
Sumner College,28309
Suncoast Technical College,17430
Surry Community College,4707
Susquehanna County Career and Technology Center,4156
Susquehanna University,26539
Sussex County Community College,7054
Sutter County Career Training Center,24876
Swarthmore College,18686
Swedish Institute a College of Health Sciences,31180
Sweet Briar College,23383
Sweetwater Institute of Cosmetology,1124
Sylvain Melloul International Hair Academy,21156
Syracuse University,41026
TC Beauty,12559
TIGI Hairdressing Academy Guilford,19952
TIGI Hairdressing Academy Newtown,14904
Tabor College,19868
Tacoma Community College,9321
Taft College,2699
Talladega College,13461
Tallahassee Community College,8478
Talmudic College of Florida,23529
Talmudical Academy-New Jersey,6666
Talmudical Institute of Upstate New York,4479
Talmudical Seminary Oholei Torah,8174
Talmudical Seminary of Bobov,1525
Talmudical Yeshiva of Philadelphia,10120
Tarleton State University,20261
Tarrant County College District,6073
Taylor Andrews Academy of Hair Design-Hair Lab Detroit Barber School,14418
Taylor Andrews Academy of Hair Design-Provo,21627
Taylor Andrews Academy of Hair Design-West Jordan,16791
Taylor Andrews Academy-St George,12005
Taylor Business Institute,14735
Taylor College,27624
Taylor Institute of Cosmetology II,9019
Taylor University,24327
Technical College of the Lowcountry,5903
Technical College of the Rockies,3790
Telshe Yeshiva-Chicago,6182
Temple College,6934
Temple University,29219
Tenaj Salon Institute,25834
Tennessee College of Applied Technology Nashville,9480
Tennessee College of Applied Technology Northwest,10375
Tennessee College of Applied Technology-Athens,3720
Tennessee College of Applied Technology-Crossville,10643
Tennessee College of Applied Technology-Crump,-37
Tennessee College of Applied Technology-Dickson,8332
Tennessee College of Applied Technology-Elizabethton,8419
Tennessee College of Applied Technology-Harriman,10129
Tennessee College of Applied Technology-Hartsville,4963
Tennessee College of Applied Technology-Henry/Carroll,6503
Tennessee College of Applied Technology-Hohenwald,10091
Tennessee College of Applied Technology-Jacksboro,5661
Tennessee College of Applied Technology-Jackson,9528
Tennessee College of Applied Technology-Knoxville,7858
Tennessee College of Applied Technology-Livingston,11899
Tennessee College of Applied Technology-McKenzie,2256
Tennessee College of Applied Technology-McMinnville,5048
Tennessee College of Applied Technology-Memphis,7429
Tennessee College of Applied Technology-Morristown,9798
Tennessee College of Applied Technology-Murfreesboro,6969
Tennessee College of Applied Technology-Oneida-Huntsville,11087
Tennessee College of Applied Technology-Pulaski,9666
Tennessee College of Applied Technology-Shelbyville,5443
Tennessee School of Beauty of Knoxville Inc,11492
Tennessee State University,10026
Tennessee Technological University,14207
Tennessee Wesleyan University,14879
Terra State Community College,11691
Texarkana College,7236
Texas A & M International University,3061
Texas A & M University-College Station,20924
Texas A & M University-Commerce,11268
Texas A & M University-Corpus Christi,15137
Texas A & M University-Kingsville,10204
Texas A&M University-Central Texas,1113
Texas A&M University-San Antonio,13220
Texas A&M University-Texarkana,12637
Texas Barber College,17164
Texas Beauty College,11652
Texas Christian University,33531
Texas College,10650
Texas College of Cosmetology-Abilene,16302
Texas College of Cosmetology-Lubbock,15675
Texas College of Cosmetology-San Angelo,15721
Texas County Technical College,20984
Texas Health School,29609
Texas Healthtech Institute,17007
Texas Lutheran University,22587
Texas Southern University,19734
Texas Southmost College,5458
Texas State Technical College,10280
Texas State University,16438
Texas Tech University,20071
Texas Wesleyan University,19398
Texas Woman's University,10948
Textures Institute of Cosmetology,18827
Thaddeus Stevens College of Technology,9964
Thanh Le College School of Cosmetology,21350
The  Beauty Institute,15131
The  Salon Professional Academy of Holland,13858
The Academy of Hair Design LLC,15080
The Academy of Hair Design Six,19488
The Ailey School,31130
The Barber School,21150
The Beauty Institute,19554
The Beauty Institute,16994
The Beauty Institute-Ambler,17231
The Catholic University of America,32798
The Chicago School-College of Nursing,26334
The Christ College of Nursing and Health Sciences,19462
The Chrysm Institute of Esthetics,19130
The College of Health Care Professions-Austin,25479
The College of Health Care Professions-Dallas,26236
The College of Health Care Professions-Fort Worth,26133
The College of Health Care Professions-McAllen Campus,24842
The College of Health Care Professions-Northwest,25937
The College of Health Care Professions-San Antonio,26248
The College of Health Care Professions-South San Antonio,26663
The College of Health Care Professions-Southwest Houston,27427
The College of Idaho,20566
The College of New Jersey,25458
The College of Saint Rose,23819
The College of Saint Scholastica,23949
The College of Westchester,11669
The College of Wooster,25766
The College of the Florida Keys,13818
The Cooper Union for the Advancement of Science and Art,16478
The Culinary School of Fort Worth,23861
The Esthetic Institute,20717
The Evergreen State College,22585
The Fab School,39612
The Hair Academy,15739
The Hair Academy LLC,16234
The Institute of Beauty and Wellness,15616
The Juilliard School,37903
The King's University,23878
The Landing School,24342
The Master's University and Seminary,32121
The Michigan Barber School,6693
The Modern College of Design,34709
The New England Conservatory of Music,42556
The New School,55359
The Professional Cosmetology Academy,11731
The Professional Hair Design Academy,20720
The Rapha School,13018
The Recording Conservatory of Austin,29459
The Salon Professional Academy,15357
The Salon Professional Academy,12628
The Salon Professional Academy Maplewood,12523
The Salon Professional Academy-Altoona,20533
The Salon Professional Academy-Appleton,10859
The Salon Professional Academy-Battle Creek,19365
The Salon Professional Academy-Cedar Falls,13595
The Salon Professional Academy-Colorado Springs,11079
The Salon Professional Academy-Delray Beach,28167
The Salon Professional Academy-Evansville,12165
The Salon Professional Academy-Fargo,14714
The Salon Professional Academy-Ft Myers,20140
The Salon Professional Academy-Georgetown,16327
The Salon Professional Academy-Huntsville,19115
The Salon Professional Academy-Kenosha,26061
The Salon Professional Academy-Melbourne,19821
The Salon Professional Academy-Nampa,18215
The Salon Professional Academy-Nashville,13347
The Salon Professional Academy-Onalaska,16460
The Salon Professional Academy-San Jose,18460
The Salon Professional Academy-St Charles,14111
The Salon Professional Academy-Tonawanda,16391
The Salon Professional Academy-Washington DC,22151
The Spa School,18676
The Temple Annapolis-A Paul Mitchell Partner School,30283
The Temple-A Paul Mitchell Partner School,28358
The University of Aesthetics & Cosmetology,16241
The University of Alabama,22150
The University of Findlay,23731
The University of Montana,17118
The University of Montana-Western,16669
The University of Olivet,21158
The University of Tampa,35634
The University of Tennessee Southern,15133
The University of Tennessee-Chattanooga,12817
The University of Tennessee-Knoxville,18109
The University of Tennessee-Martin,10299
The University of Texas Permian Basin,9144
The University of Texas Rio Grande Valley,6500
The University of Texas at Arlington,15235
The University of Texas at Austin,19678
The University of Texas at Dallas,17435
The University of Texas at El Paso,10726
The University of Texas at San Antonio,11234
The University of Texas at Tyler,13931
The University of the South,27498
The Vocational Nursing Institute Inc,57042
Thiel College,22746
Thomas Aquinas College,25032
Thomas College,19223
Thomas Jefferson University,28163
Thomas More College of Liberal Arts,21511
Thomas More University,20701
Thomas University,19313
Three Rivers College,9980
Tidewater Community College,7991
Tidewater Tech-Trades,24671
Tiffin Academy of Hair Design,10382
Tiffin University,23758
Tigi Hairdressing Academy-Colorado Springs,25699
Tillamook Bay Community College,4700
Tint School of Makeup & Cosmetology,18085
Tint School of Makeup and Cosmetology-Dallas,22027
Toccoa Falls College,20133
Tohono O'odham Community College,4156
Toledo Public Schools Adult and Continuing Education,12685
Tom P. Haney Technical College,5182
Tomorrow's Image Barber And Beauty Academy of Virginia,17543
Tompkins Cortland Community College,12851
Toni & Guy Hairdressing Academy-Cranston,18493
Toni & Guy Hairdressing Academy-Shoreline,18668
Toni & Guy Hairdressing Academy-Worcester,34772
Tonsorial Arts Barber College,19240
Top of the Line Barber College,14486
Top of the Line Barber School,24189
Torah Temimah Talmudical Seminary,20466
Total Beauty Institute,13292
Total Image Beauty Academy,13423
Total Transformation Institute of Cosmetology,16832
Tougaloo College,15663
Touro University,26556
Touro University Worldwide,16599
Towson University,16791
Transitions Career Institute School of Nursing,37725
Transylvania University,23560
Traxlers School of Hair,11006
Treasure Coast Technical College,7245
Treasure Valley Community College,5441
Trend Barber College,15398
Trend Barber College,17885
Trend Setters School,9460
Trevecca Nazarene University,14459
Tri County Regional Vocational Technical High School,25900
Tri-County Community College,4584
Tri-County Technical College,5807
Tri-State Cosmetology Institute,15361
Triangle Tech Inc-Bethlehem,22044
Triangle Tech Inc-Dubois,20698
Triangle Tech Inc-Greensburg,23919
Triangle Tech Inc-Pittsburgh,20789
Triangle Tech Inc-Sunbury,22625
Triangle Tech-Chambersburg,24252
Tricoci University of Beauty Culture,15024
Tricoci University of Beauty Culture LLC-Bloomington,16075
Tricoci University of Beauty Culture-Bridgeview,18154
Tricoci University of Beauty Culture-Chicago NE,20010
Tricoci University of Beauty Culture-Chicago NW,19244
Tricoci University of Beauty Culture-Elgin,17863
Tricoci University of Beauty Culture-Glendale Heights,16274
Tricoci University of Beauty Culture-Highland,19194
Tricoci University of Beauty Culture-Indianapolis,19046
Tricoci University of Beauty Culture-Janesville,13832
Tricoci University of Beauty Culture-Lafayette,20276
Tricoci University of Beauty Culture-Libertyville,18273
Tricoci University of Beauty Culture-Normal,17607
Tricoci University of Beauty Culture-Peoria,20508
Tricoci University of Beauty Culture-Rockford,18036
Trident Technical College,-3220
Trine University,25580
Trine University-Regional/Non-Traditional Campuses,21976
Trinidad State College,11197
Trinity Baptist College,19273
Trinity Bible College and Graduate School,20396
Trinity Christian College,16381
Trinity College,35009
Trinity College of Florida,21283
Trinity Health System School of Nursing,8454
Trinity International University-Florida,5455
Trinity International University-Illinois,21386
Trinity University,23650
Trinity Valley Community College,3801
Trinity Washington University,12233
Triton College,4427
Trocaire College,21236
Troy University,13869
Truckee Meadows Community College,7457
Truett McConnell University,22328
Truman State University,12030
Tuana European Beauty Academy,16967
Tucson College of Beauty,16649
Tufts University,35435
Tulane University of Louisiana,43939
Tulsa Community College,5999
Tulsa Technology Center,8411
Tulsa Welding School-Houston,32907
Tulsa Welding School-Jacksonville,32599
Tulsa Welding School-Jacksonville,28384
Tulsa Welding School-Tulsa,33120
Turning Point Beauty College,14433
Turtle Mountain Community College,3474
Tusculum University,22874
Tuskegee University,32977
Twin City Beauty College,21829
Tyler Junior College,9924
U.S. Truck Driver Training School,13223
UCAS University of Cosmetology Arts & Sciences-Harlingen,18426
UCAS University of Cosmetology Arts & Sciences-La Joya,17277
UCAS University of Cosmetology Arts & Sciences-McAllen,11720
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,20353
UCNJ Union College of Union County NJ,7251
UEI College-Bakersfield,27712
UEI College-Chula Vista,26798
UEI College-Fresno,28271
UEI College-Garden Grove,23923
UEI College-Gardena,26611
UEI College-Huntington Park,26959
UEI College-Mesa,33845
UEI College-Oceanside,25560
UEI College-Ontario,25076
UEI College-Phoenix,31673
UEI College-Reseda,25949
UEI College-Riverside,25704
UEI College-Sacramento,26924
UEI College-Stockton,25283
UEI College-Tacoma,34928
UEI College-West Covina,25924
UPMC Jameson School of Nursing,22014
UPMC Mercy School of Nursing,30944
UPMC Shadyside School of Nursing,23601
UPMC St. Margaret School of Nursing,19096
UR Beauty & Barber Academy,12575
Ulster County Community College,4586
Ultimate Medical Academy,19350
Umpqua Community College,10168
Union Adventist University,20884
Union Bible College,7187
Union College,23906
Union College,36000
Union County Vocational Technical School,8325
Union University,26815
Unitech Training Academy-Alexandria,20968
Unitech Training Academy-Baton Rouge,22687
Unitech Training Academy-Houma,21938
Unitech Training Academy-Lafayette,25472
Unitech Training Academy-New Orleans,24599
Unitech Training Academy-West Monroe,25053
United Beauty College,10700
United Education Institute-Las Vegas,33051
United Education Institute-Morrow,34305
United Education Institute-Stone Mountain,33189
United States Merchant Marine Academy,7506
United States University,21557
United Talmudical Seminary,6500
United Technical Center,3462
United Tribes Technical College,2010
Unitek College,25719
Unitek College,28283
Unitek College,27158
Unity Environmental University,18217
Universal College of Beauty Inc-Los Angeles 2,18591
Universal College of Healing Arts,20862
Universal Healthcare Careers College,33617
Universal Spa Training Academy,20547
Universal Technical Institute of Arizona Inc,27139
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,21925
Universal Technical Institute of California Inc,23526
Universal Technical Institute of Illinois Inc,24971
Universal Technical Institute of Northern California Inc,26671
Universal Technical Institute of Pennsylvania Inc,24588
Universal Technical Institute of Texas Inc.,20819
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,26643
Universal Technical Institute-Bloomfield,26052
Universal Technical Institute-Dallas Fort Worth,23939
Universal Technical Institute-South Florida Miramar,25637
Universal Technical Institute-Southern California,24867
Universal Technical Institute-West Texas,23864
Universal Technology College of Puerto Rico,6326
Universal Training Institute,37693
Universidad Adventista de las Antillas,8471
Universidad Ana G. Mendez-Carolina Campus,7569
Universidad Ana G. Mendez-Cupey Campus,7559
Universidad Ana G. Mendez-Gurabo Campus,7668
Universidad Central Del Caribe,8011
Universidad Central de Bayamon,4285
Universidad Pentecostal Mizpa,5607
Universidad Politecnica de Puerto Rico,16338
Universidad Teologica del Caribe,11987
Universidad del Sagrado Corazon,13024
University Academy of Hair Design,11403
University at Albany,18486
University at Buffalo,20470
University of Advancing Technology,20913
University of Aesthetics & Cosmetology,12331
University of Aesthetics & Cosmetology,17040
University of Akron Main Campus,14981
University of Akron Wayne College,9717
University of Alabama at Birmingham,17727
University of Alabama in Huntsville,19880
University of Alaska Anchorage,13780
University of Alaska Fairbanks,9634
University of Alaska Southeast,7233
University of Arizona,15960
University of Arkansas,17525
University of Arkansas Community College Rich Mountain,4914
University of Arkansas Community College-Batesville,9359
University of Arkansas Community College-Morrilton,11718
University of Arkansas Grantham,9325
University of Arkansas Hope-Texarkana,8210
University of Arkansas at Little Rock,16136
University of Arkansas at Monticello,14013
University of Arkansas at Pine Bluff,11679
University of Arkansas-Fort Smith,10097
University of Arkansas-Pulaski Technical College,15000
University of Baltimore,17546
University of Bridgeport,24786
University of California-Berkeley,14979
University of California-Davis,15288
University of California-Irvine,12840
University of California-Los Angeles,14013
University of California-Merced,12744
University of California-Riverside,13707
University of California-San Diego,11750
University of California-Santa Barbara,13825
University of California-Santa Cruz,16607
University of Central Arkansas,16775
University of Central Florida,10650
University of Central Missouri,15336
University of Central Oklahoma,18990
University of Charleston,22012
University of Chicago,18967
University of Cincinnati-Blue Ash College,9219
University of Cincinnati-Clermont College,9457
University of Cincinnati-Main Campus,23156
University of Colorado Boulder,21480
University of Colorado Colorado Springs,16431
University of Colorado Denver/Anschutz Medical Campus,19133
University of Connecticut,22886
University of Connecticut-Avery Point,11504
University of Connecticut-Hartford Campus,13339
University of Connecticut-Stamford,14059
University of Connecticut-Waterbury Campus,8896
University of Dallas,25470
University of Dayton,31236
University of Delaware,16931
University of Denver,36037
University of Detroit Mercy,16179
University of Dubuque,23250
University of Evansville,20230
University of Florida,6351
University of Florida-Online,4702
University of Fort Lauderdale,15245
University of Georgia,13816
University of Guam,9424
University of Hartford,29558
University of Hawaii Maui College,9421
University of Hawaii at Hilo,12063
University of Hawaii at Manoa,13181
University of Hawaii-West Oahu,10666
University of Health Sciences and Pharmacy in St. Louis,33596
University of Holy Cross,16780
University of Houston,13853
University of Houston-Clear Lake,11056
University of Houston-Downtown,14623
University of Houston-Victoria,8624
University of Idaho,13782
University of Illinois Chicago,12313
University of Illinois Springfield,8916
University of Illinois Urbana-Champaign,15201
University of Indianapolis,18748
University of Iowa,21398
University of Jamestown,20318
University of Kansas,17365
University of Kentucky,17218
University of La Verne,26925
University of Louisiana at Lafayette,14118
University of Louisiana at Monroe,11633
University of Louisville,17634
University of Lynchburg,20187
University of Maine,18045
University of Maine at Augusta,11353
University of Maine at Farmington,14873
University of Maine at Fort Kent,10865
University of Maine at Presque Isle,10028
University of Mary,18568
University of Mary Hardin-Baylor,28690
University of Mary Washington,21108
University of Maryland Eastern Shore,14035
University of Maryland Global Campus,14514
University of Maryland-Baltimore County,18328
University of Maryland-College Park,15590
University of Massachusetts Global,31601
University of Massachusetts-Amherst,23691
University of Massachusetts-Boston,18282
University of Massachusetts-Dartmouth,20605
University of Massachusetts-Lowell,18627
University of Memphis,13253
University of Miami,36803
University of Michigan-Ann Arbor,14832
University of Michigan-Dearborn,10904
University of Michigan-Flint,12280
University of Minnesota-Crookston,10874
University of Minnesota-Duluth,18464
University of Minnesota-Morris,9110
University of Minnesota-Rochester,12785
University of Minnesota-Twin Cities,17139
University of Mississippi,13164
University of Missouri-Columbia,19889
University of Missouri-Kansas City,12837
University of Missouri-St Louis,12323
University of Mobile,19603
University of Montevallo,17053
University of Mount Olive,17893
University of Mount Saint Vincent,19920
University of Mount Union,22539
University of Nebraska at Kearney,16488
University of Nebraska at Omaha,12791
University of Nebraska-Lincoln,17424
University of Nevada-Las Vegas,10011
University of Nevada-Reno,15402
University of New England,37109
University of New Hampshire College of Professional Studies Online,14106
University of New Hampshire at Manchester,13302
University of New Hampshire-Main Campus,23261
University of New Haven,34089
University of New Mexico-Gallup Campus,5467
University of New Mexico-Los Alamos Campus,10050
University of New Mexico-Main Campus,17478
University of New Mexico-Taos Campus,10385
University of New Mexico-Valencia County Campus,9014
University of New Orleans,11147
University of North Alabama,11024
University of North Carolina Asheville,12865
University of North Carolina School of the Arts,12372
University of North Carolina Wilmington,19472
University of North Carolina at Chapel Hill,12983
University of North Carolina at Charlotte,14745
University of North Carolina at Greensboro,10170
University of North Carolina at Pembroke,9918
University of North Dakota,18998
University of North Florida,10353
University of North Georgia,10785
University of North Texas,14352
University of North Texas at Dallas,8376
University of Northern Colorado,18457
University of Northern Iowa,14609
University of Northwestern Ohio,20609
University of Northwestern-St Paul,25140
University of Notre Dame,27823
University of Oklahoma-Norman Campus,17413
University of Oregon,21782
University of Pennsylvania,31229
University of Phoenix-Arizona,13571
University of Pikeville,13591
University of Pittsburgh-Bradford,16630
University of Pittsburgh-Greensburg,17034
University of Pittsburgh-Johnstown,18952
University of Pittsburgh-Pittsburgh Campus,30074
University of Pittsburgh-Titusville,13017
University of Portland,36371
University of Providence,20907
University of Puerto Rico at Cayey,9148
University of Puerto Rico at Ponce,7455
University of Puerto Rico-Aguadilla,8142
University of Puerto Rico-Arecibo,11759
University of Puerto Rico-Bayamon,9657
University of Puerto Rico-Carolina,14072
University of Puerto Rico-Humacao,13487
University of Puerto Rico-Mayaguez,12684
University of Puerto Rico-Rio Piedras,6507
University of Puerto Rico-Utuado,12386
University of Puget Sound,38920
University of Redlands,22867
University of Rhode Island,19899
University of Richmond,33417
University of Rio Grande,29541
University of Rochester,30248
University of Saint Francis-Fort Wayne,20361
University of Saint Joseph,27375
University of Saint Katherine,33072
University of Saint Mary,23335
University of San Diego,31265
University of San Francisco,39495
University of Science and Arts of Oklahoma,8543
University of Scranton,30528
University of Silicon Valley,30799
University of Sioux Falls,20874
University of South Alabama,15142
University of South Carolina Aiken,11611
University of South Carolina Beaufort,15309
University of South Carolina-Columbia,24532
University of South Carolina-Lancaster,9735
University of South Carolina-Salkehatchie,12395
University of South Carolina-Sumter,9283
University of South Carolina-Union,11125
University of South Carolina-Upstate,13725
University of South Dakota,19155
University of South Florida,10043
University of Southern California,31927
University of Southern Indiana,12621
University of Southern Maine,11729
University of Southern Mississippi,14224
University of Spa & Cosmetology Arts,17951
University of St Francis,16284
University of St Thomas,30525
University of St Thomas,18762
University of Toledo,17460
University of Tulsa,23678
University of Utah,13172
University of Valley Forge,27499
University of Vermont,20860
University of Virginia's College at Wise,11180
University of Virginia-Main Campus,22881
University of Washington-Bothell Campus,10898
University of Washington-Seattle Campus,13485
University of Washington-Tacoma Campus,10017
University of West Alabama,13832
University of West Florida,8155
University of West Georgia,15450
University of Wisconsin-Eau Claire,16948
University of Wisconsin-Green Bay,12878
University of Wisconsin-La Crosse,15374
University of Wisconsin-Madison,16928
University of Wisconsin-Milwaukee,16177
University of Wisconsin-Oshkosh,14761
University of Wisconsin-Parkside,10044
University of Wisconsin-Platteville,14754
University of Wisconsin-River Falls,14714
University of Wisconsin-Stevens Point,13726
University of Wisconsin-Stout,17365
University of Wisconsin-Superior,13405
University of Wisconsin-Whitewater,14785
University of Wyoming,11779
University of the Arts,44154
University of the Cumberlands,11286
University of the District of Columbia,14693
University of the Incarnate Word,20498
University of the Ozarks,13630
University of the Pacific,25926
University of the Potomac-Washington DC Campus,18868
University of the Southwest,19969
University of the Virgin Islands,7563
University of the West,11137
Unlimited Cosmetology School,18963
Upper Cape Cod Regional Technical School,23394
Upper Iowa University,23172
Upper Kutz Barber & Style College,22664
Upper Valley Career Center,16505
Urban Barber College,24828
